"participant";"environment";"trial";"option";"attribute"
44;"compensatory";9;3;"s"
44;"compensatory";9;3;"s"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"b"
44;"compensatory";9;1;"f"
44;"compensatory";9;1;"f"
44;"compensatory";9;1;"f"
44;"compensatory";9;3;"p"
44;"compensatory";9;1;"p"
44;"compensatory";9;1;"s"
44;"compensatory";9;1;"s"
44;"compensatory";9;1;"p"
44;"compensatory";9;2;"s"
44;"compensatory";9;2;"s"
44;"compensatory";9;2;"s"
44;"compensatory";9;1;"s"
44;"compensatory";9;1;"s"
44;"compensatory";9;2;"s"
44;"compensatory";9;2;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"p"
44;"compensatory";9;4;"p"
44;"compensatory";9;4;"f"
44;"compensatory";9;4;"f"
44;"compensatory";9;4;"f"
44;"compensatory";9;4;"p"
44;"compensatory";9;3;"s"
44;"compensatory";9;3;"p"
44;"compensatory";9;3;"s"
44;"compensatory";9;2;"s"
44;"compensatory";9;2;"f"
44;"compensatory";9;1;"s"
44;"compensatory";9;1;"p"
44;"compensatory";9;4;"p"
44;"compensatory";9;4;"p"
44;"compensatory";9;4;"f"
44;"compensatory";9;4;"b"
44;"compensatory";9;4;"b"
44;"compensatory";9;4;"p"
44;"compensatory";9;4;"p"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";9;4;"s"
44;"compensatory";10;4;"f"
44;"compensatory";10;4;"p"
44;"compensatory";10;4;"b"
44;"compensatory";10;4;"b"
44;"compensatory";10;4;"f"
44;"compensatory";10;4;"s"
44;"compensatory";10;4;"s"
44;"compensatory";10;4;"s"
44;"compensatory";10;4;"s"
44;"compensatory";10;4;"s"
44;"compensatory";10;1;"f"
44;"compensatory";10;1;"f"
44;"compensatory";10;1;"b"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"b"
44;"compensatory";10;1;"p"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;1;"s"
44;"compensatory";10;2;"f"
44;"compensatory";10;2;"f"
44;"compensatory";10;2;"s"
44;"compensatory";10;2;"s"
44;"compensatory";10;2;"s"
44;"compensatory";10;2;"s"
44;"compensatory";10;3;"s"
44;"compensatory";10;3;"s"
44;"compensatory";10;2;"f"
44;"compensatory";10;2;"f"
44;"compensatory";10;2;"s"
44;"compensatory";10;2;"f"
44;"compensatory";11;1;"s"
